url,name,birth,death
http://www.phil.muni.cz/fil/scf/komplet/capekn.html,Norbert Fabián Čapek,* 3. 6. 1870 Radomyšl u Strakonic,† 30. 10. 1942 Dachau
http://www.phil.muni.cz/fil/scf/komplet/capkva.html,Dagmar Čapková,"* 13. 9. 1925 Úborsko, okr. Klatovy",† 24. 5. 2016
http://www.phil.muni.cz/fil/scf/komplet/carnog.html,Marina Čarnogurská,* 11. 6. 1940 Bratislava,
http://www.phil.muni.cz/fil/scf/komplet/cechak.html,Vladimír Čechák,* 21. 3. 1939 Olomouc,
http://www.phil.muni.cz/fil/scf/komplet/cep.html,Jan Čep,* 31. 12. 1902 Myslechovice u Litovle,† 25. 1. 1974 Paříž
http://www.phil.muni.cz/fil/scf/komplet/cermak.html,Vladimír Čermák,"* 3. 9. 1929 Čechyně, okr. Vyškov",† 21. 7. 2004 Brno
http://www.phil.muni.cz/fil/scf/komplet/cernik.html,Václav Černík,"* 7. 5. 1931 Jezbořice, okr. Pardubice",
http://www.phil.muni.cz/fil/scf/komplet/cernov.html,Viktor Černov,* 19. 11. 1873 Kamyšin (Rusko),† 15. 4. 1952 New York
http://www.phil.muni.cz/fil/scf/komplet/cernyj.html,Jiří Černý,* 24. 2. 1928 Praha,† 1. 11. 1982 Praha
http://www.phil.muni.cz/fil/scf/komplet/cernyv.html,Václav Černý,* 26. 3. 1905 Jizbice u Náchoda,† 2. 7. 1987 Praha
http://www.phil.muni.cz/fil/scf/komplet/cerven.html,Jaromír Červenka,* 17. 1. 1903 Třebíč,† 1983
http://www.phil.muni.cz/fil/scf/komplet/ceska.html,Jan Češka,,
http://www.phil.muni.cz/fil/scf/komplet/cupr.html,František Čupr,* 11. 4. 1821 Chrást u Chrudimi,† 28. 6. 1882 Praha-Libeň
http://www.phil.muni.cz/fil/scf/komplet/cyzev.html,Dmytro Čyževskyj,* 5. 4. 1894 Oleksandrija (Ukrajina),† 18. 4. 1977 Heidelberg
http://www.phil.muni.cz/fil/scf/komplet/dacik.html,Reginald Dacík,* 21. 1. 1907 Uherský Brod,
http://www.phil.muni.cz/fil/scf/komplet/danhel.html,Milan Daňhel,* 30. 12. 1941 Uherské Hradiště,
http://www.phil.muni.cz/fil/scf/komplet/dastch.html,Josef Dastich,* 27. 2. 1835 Čimelice,† 31. 3. 1870 Praha
http://www.phil.muni.cz/fil/scf/komplet/delmdg.html,Josef Šelomo Delmedigo,* 16. 9. 1591 Kréta (Candia),† 16. 10. 1655 Praha
http://www.phil.muni.cz/fil/scf/komplet/desol.html,Jan Nepomuk František Desolda,* 10. 9. 1811 Švihov,† 8. 2. 1885 Teplá
http://www.phil.muni.cz/fil/scf/komplet/dieska.html,Jozef Dieška,* 5. 4. 1913 Dolná Lehota,† 15. 3. 1995 Dayton (USA)
http://www.phil.muni.cz/fil/scf/komplet/dobias.html,František Mrázek Dobiáš,* 2. 3. 1907 Třebíč,† 2. 10. 1972 Laasphe
http://www.phil.muni.cz/fil/scf/komplet/dobner.html,Felix Job Dobner,* 30. 5. 1719 Praha,† 24. 5. 1790 Praha
http://www.phil.muni.cz/fil/scf/komplet/dobrov.html,Josef Dobrovský,* 17. 8. 1753 Ďarmoty,† 6. 1. 1829 Brno
http://www.phil.muni.cz/fil/scf/komplet/dobrus.html,Augustin Krauser Dobruský,* 1862 Dobruška,† 9. 9. 1927 Dobruška
http://www.phil.muni.cz/fil/scf/komplet/dokuli.html,Miloš Dokulil,* 23. 7. 1928 Brno,
http://www.phil.muni.cz/fil/scf/komplet/dratv.html,Albína Dratvová,* 27. 12. 1891 (v matrice 2. 1. 1892) Praha,
http://www.phil.muni.cz/fil/scf/komplet/drbal.html,Matěj Amos Drbal,* 20. 2. 1829 Brodek u Prostějova,† 17. 4. 1885 Brno
http://www.phil.muni.cz/fil/scf/komplet/drosb.html,Maxmilian Drossbach,* 1810 Dinkelsbühl (Bavorsko),† 1884 Bäumenheim (Bavorsko)
http://www.phil.muni.cz/fil/scf/komplet/drt.html,František Drtina,* 3. 10. 1861 Hněvšín u Dobříše,† 14. 1. 1925 Praha
http://www.phil.muni.cz/fil/scf/komplet/dubnic.html,Ján Dubnička,* 7. 5. 1941 Slávnica,
http://www.phil.muni.cz/fil/scf/komplet/dubska.html,Irena Dubská,* 17. 11. 1924 Praha,† 24. 7. 2010 Praha  
http://www.phil.muni.cz/fil/scf/komplet/dubsky.html,Ivan Dubský,* 3. 9. 1926 Praha,
http://www.phil.muni.cz/fil/scf/komplet/dubsk.html,Jan Dubský,* 4. 10. 1649 Nové Meziříčí  ,† 17. 8. 1700 Jindřichův Hradec  
http://www.phil.muni.cz/fil/scf/komplet/dudas.html,Cyril Dudáš,* 8. 2. 1910 Zeleneč,† 10. 1. 1982 Bratislava
http://www.phil.muni.cz/fil/scf/komplet/duchek.html,Jan Duchek,* 18. 11. 1669 Jindřichův Hradec ,† 15. 6. 1732 Hradec Králové  
http://www.phil.muni.cz/fil/scf/komplet/durdj.html,Josef Durdík,* 15. 10. 1837 Hořice u Jičína,† 30. 6. 1902 Praha
http://www.phil.muni.cz/fil/scf/komplet/duzi.html,Ilja Duží,"* 2. 3. 1931 Dobrá, okr. Frýdek-Místek",† 19. 12. 2009 Ostrava 
http://www.phil.muni.cz/fil/scf/komplet/duzim.html,Marie DuĹľĂ­,* 11. 10. 1948 Ostrava,
http://www.phil.muni.cz/fil/scf/komplet/dvornk.html,František Dvorník,* 14. 8. 1893 Chomýž,† 4. 11. 1975 Chomýž
http://www.phil.muni.cz/fil/scf/komplet/dvork.html,Rudolf Dvořák,* 12. 11. 1860 Dříteň u Českých Budějovic,† 1. 2. 1920 Praha
http://www.phil.muni.cz/fil/scf/komplet/effenb.html,Vratislav Effenberger,* 22. 4. 1923 Nymburk,† 10. 8. 1986 Praha
http://www.phil.muni.cz/fil/scf/komplet/ehrenf.html,Christian von Ehrenfels,* 20. 6. 1859 Rodaun,† 7. 9. 1932 Lichtenau
http://www.phil.muni.cz/fil/scf/komplet/englis.html,Karel Engliš,* 17. 8. 1880 Hrabyně u Opavy,† 13. 6. 1961 Hrabyně u Opavy
http://www.phil.muni.cz/fil/scf/komplet/engst.html,Jaroslav Engst,* 23. 9. 1924 Praha,† 3. 11. 1982 Praha
http://www.phil.muni.cz/fil/scf/komplet/exner.html,Franz Exner,* 28. 8. 1802 Vídeň,† 21. 6. 1853 Padova
http://www.phil.muni.cz/fil/scf/komplet/fajfr.html,František Fajfr,* 18. 8. 1892 Humpolec,† 12. 2. 1969 Praha
http://www.phil.muni.cz/fil/scf/komplet/fajkus.html,Břetislav Fajkus,* 3. 4. 1933 Ostrava,† 8. 1. 2021
http://www.phil.muni.cz/fil/scf/komplet/farksv.html,Etela Farkašová,* 5. 10. 1943 Levoča,
http://www.phil.muni.cz/fil/scf/komplet/felber.html,Stanislav Felber,* 7. 5. 1905 Praha,† 27. 10. 1956 Bratislava
http://www.phil.muni.cz/fil/scf/komplet/fiala.html,Jiří Fiala,* 24. 2. 1939 Uherské Hradiště,† 22. 11. 2012 Brno
http://www.phil.muni.cz/fil/scf/komplet/fidrmc.html,J. Fidrmuc,* 19. století,
http://www.phil.muni.cz/fil/scf/komplet/filipc.html,Jindřich Filipec,* 18. 12. 1926 Hradec u Stoda,
http://www.phil.muni.cz/fil/scf/komplet/filkor.html,Vojtech Filkorn,* 8. 4. 1922 Pravenec,† 14. 4. 2009 Bratislava
http://www.phil.muni.cz/fil/scf/komplet/filo.html,Ondrej Filo,"* 14. 10. 1927 Čičmany, okr. Žilina",
http://www.phil.muni.cz/fil/scf/komplet/filova.html,Elena Filová,"* 20. 7. 1920 Málinec, okr. Lučenec",
http://www.phil.muni.cz/fil/scf/komplet/jfisch.html,Josef Fischer,* 2. 4. 1891 Kolín,† únor 1945 Brandenburg
http://www.phil.muni.cz/fil/scf/komplet/fisjl.html,Josef Ludvík Fischer,* 6. 11. 1894 Praha,† 17. 2. 1973 Olomouc
http://www.phil.muni.cz/fil/scf/komplet/bondy.html,Egon Bondy,* 20. 1. 1930 Praha,† 9. 4. 2007 Bratislava
http://www.phil.muni.cz/fil/scf/komplet/floria.html,Josef Florian,* 9. 2. 1873 Stará Říše,† 29. 12. 1941 Stará Říše
http://www.phil.muni.cz/fil/scf/komplet/flos-k.html,Karel Floss,* 19. 7. 1926 Hodonín,
http://www.phil.muni.cz/fil/scf/komplet/flosp.html,Pavel Floss,* 22. 9. 1940 Olomouc,
http://www.phil.muni.cz/fil/scf/komplet/fluser.html,Vilém Flusser,* 12. 5. 1920 Praha,† 27. 11. 1991 poblíž Prahy
http://www.phil.muni.cz/fil/scf/komplet/fogl.html,Eva Foglarová,* 29. 5. 1941 Nový Jičín,† 14. 11. 2009 Praha
http://www.phil.muni.cz/fil/scf/komplet/formnk.html,Eva Formánková,* 5. 1. 1931 Popovice,† 8. 12. 2019 Praha
http://www.phil.muni.cz/fil/scf/komplet/forstv.html,Vilém Forster,* 16. 3. 1884 Hory Ratibořské u Tábora,"† 22. 5. 1934 Radošovice, okr. Benešov"
http://www.phil.muni.cz/fil/scf/komplet/fousb.html,Břetislav Foustka,* 5. 2. 1862 Trpín u Poličky,† 22. 2. 1947 Poděbrady
http://www.phil.muni.cz/fil/scf/komplet/freud.html,Sigmund Freud,* 6. 5. 1856 Příbor,† 23. 9. 1939 Londýn
http://www.phil.muni.cz/fil/scf/komplet/fric.html,Josef Václav Frič,* 5. 9. 1829 Praha,† 14. 10. 1890 Praha
http://www.phil.muni.cz/fil/scf/komplet/fuchs.html,Alfred Fuchs,* 23. 6. 1892 Praha-Královské Vinohrady,† 16. 2. 1941 Dachau
http://www.phil.muni.cz/fil/scf/komplet/funda.html,Otakar A. Funda,* 13. 9. 1943 Praha,
http://www.phil.muni.cz/fil/scf/komplet/gabrj.html,Jiří Gabriel,* 22. 8. 1930 Baťovo,† 10. 11. 2020 Brno
http://www.phil.muni.cz/fil/scf/komplet/galla.html,Karel Galla,* 19. 8. 1901 Nový Jičín,† 1985 Praha
http://www.phil.muni.cz/fil/scf/komplet/gardav.html,Vítězslav Gardavský,* 24. 10. 1923 Ostrava-Zábřeh,† 7. 3. 1978 Prosetín
http://www.phil.muni.cz/fil/scf/komplet/gelen.html,Šimon Gelenius (Jelenius) Sušický,,
http://www.phil.muni.cz/fil/scf/komplet/goedel.html,Kurt Gödel,* 28. 4. 1906 Brno,† 14. 1. 1978 Princeton (USA)
http://www.phil.muni.cz/fil/scf/komplet/gomper.html,Theodor Gomperz,* 29. 3. 1832 Brno,† 29. 8. 1912 Baden-Wien
http://www.phil.muni.cz/fil/scf/komplet/gorovs.html,Karel Gorovský,* 10. 9. 1901 Jičín,† 5. 1. 1985 Ostrava
http://www.phil.muni.cz/fil/scf/komplet/grohvl.html,Vladimír Groh,* 26. 1. 1895 Holešov na Moravě,† 30. 9. 1941 Brno
http://www.phil.muni.cz/fil/scf/komplet/grulch.html,Vladimír Grulich,* 22. 3. 1924,† 25. 6. 1988 Praha
http://www.phil.muni.cz/fil/scf/komplet/gunth.html,Anton Günther,* 17. 11. 1783 Lindava,† 24. 2. 1863 Vídeň
http://www.phil.muni.cz/fil/scf/komplet/guth.html,Jiří Stanislav Guth-Jarkovský,* 23. 1. 1861 Heřmanův Městec,† 8. 1. 1943 Náchod
http://www.phil.muni.cz/fil/scf/komplet/haban.html,Metoděj Habáň,* 11. 9. 1899 Huštěnovice,† 27. 6. 1984 Brno
http://www.phil.muni.cz/fil/scf/komplet/had.html,Vojtěch Had,* 19. 2. 1635 Praha,† 11. 1. 1682 Košumberg
http://www.phil.muni.cz/fil/scf/komplet/hajek.html,Tadeáš Hájek z Hájku,* 1. 10. 1525 Praha,† 1. 9. 1600 Praha
http://www.phil.muni.cz/fil/scf/komplet/hajn.html,Antonín Hajn,* 24. 7. 1868 Solnice,† 26. 3. 1949 Praha
http://www.phil.muni.cz/fil/scf/komplet/hala.html,Vlastimil Hála,* 26. 2. 1951 Praha,
http://www.phil.muni.cz/fil/scf/komplet/halada.html,Jan Halada,* 26. 7. 1942 Domažlice,
http://www.phil.muni.cz/fil/scf/komplet/halek.html,Ivan Hálek,* 11. 11. 1872 Praha,† 17. 2. 1945 Praha
http://www.phil.muni.cz/fil/scf/komplet/halik.html,Tomáš Halík,* 1. 6. 1948 Praha,
http://www.phil.muni.cz/fil/scf/komplet/hancke.html,Johannes Hancke,* 2. 2. 1644 Nisa (Polsko),† 24. 8. 1713 Brno
http://www.phil.muni.cz/fil/scf/komplet/hanel.html,Melchior Hanel,* 6. 1. 1627 Kroměříž,† 31. 10. 1689 Olomouc
http://www.phil.muni.cz/fil/scf/komplet/hanusl.html,Ladislav Hanus,* 26. 2. 1907 Liptovský Mikuláš,† 8. 3. 1994 Ružomberok
http://www.phil.muni.cz/fil/scf/komplet/hanusi.html,Ignác Jan Hanuš,* 12. 11. 1812 Praha,† 19. 5. 1869 Praha
http://www.phil.muni.cz/fil/scf/komplet/bohhas.html,Bohuslav Hasištejnský z Lobkovic,* asi 1461 Hasištejn u Chomutova,† listopad 1510 Hasištejn u Chomutova
http://www.phil.muni.cz/fil/scf/komplet/haskov.html,Helena Haškovcová,* 19. 8. 1945 Praha,
http://www.phil.muni.cz/fil/scf/komplet/haub.html,Josef Haubelt,"* 27. 7. 1932 Olšovec, okr. Přerov",† 11. 3. 2013
http://www.phil.muni.cz/fil/scf/komplet/havelv.html,Václav Havel,* 5. 10. 1936 Praha,† 18. 12. 2011 Vlčice-Hrádeček
http://www.phil.muni.cz/fil/scf/komplet/havelu.html,Havel z Úterého,* 14.–15. století,
http://www.phil.muni.cz/fil/scf/komplet/havlkj.html,Jaroslav Havelka,* 1922 Silůvky u Brna,† 14. 8. 1997 London (Kanada)
http://www.phil.muni.cz/fil/scf/komplet/havlka.html,Miloš Havelka,* 29. 7. 1944 Brno,
http://www.phil.muni.cz/fil/scf/komplet/havlbo.html,Karel Havlíček Borovský,* 21. 10. 1821 Borová u Přibyslavi,† 29. 7. 1856 Praha
http://www.phil.muni.cz/fil/scf/komplet/havlik.html,Vladimír Havlík,* 2. 1. 1961 Nymburk,
http://www.phil.muni.cz/fil/scf/komplet/heidl.html,Alexander Heidler,* 1. 12. 1916 Praha,† 3. 8. 1980 Mnichov
